query class,recommended configuration,token reduction %
arithmetic,M1+M2+M3+M5+M4+M6,+69.3
code,M1+M2+M3+M5+M4+M6,+30.8
factual,M1+M2+M3+M5+M4+M6,+22.8
follow_up,M1+M2+M3+M5+M4+M6,+32.4
paraphrase,M1+M2+M3+M5+M4+M6,+49.2
summarisation,M1+M2+M3+M5+M4+M6,+20.7
