recurrence,cache seeds,cold,warm,transfer (pp),extra hits,extra gate fires
0.0%,0,7.21%,7.21%,+0.00,+0,+0
7.5%,3,11.18%,12.49%,+1.31,+1,+0
22.5%,8,14.99%,20.41%,+5.43,+4,+0
33.3%,10,23.38%,31.93%,+8.55,+6,+0
45.0%,12,33.28%,47.99%,+14.70,+10,+0
57.5%,16,45.69%,63.52%,+17.83,+12,+0
