cell,"Qwen2.5-1.5B-Instruct (151,665)","gpt2 (50,257)"
baseline,+0.00,+0.00
M1,+0.23,+0.22
M2,+2.03,+2.04
M3,+12.52,+12.61
M5,+14.27,+14.24
M1+M2+M3+M5,+27.43,+27.35
