method,items,correct,accuracy %,95% CI,context kept %,prompt tokens,prefill ms,wall ms,lost vs full,gained vs full,McNemar p
closed_book,30,3,10.0,3.5-25.6,0.0,59,455,5218,25,0,0.000
full,30,28,93.3,78.7-98.2,100.0,577,6446,9305,,,
parsimony,30,26,86.7,70.3-94.7,27.6,218,2216,5116,3,1,0.625
parsimony_neural,30,25,83.3,66.4-92.7,27.6,218,2261,5383,4,1,0.375
parsimony_v2,30,26,86.7,70.3-94.7,29.4,228,2355,6252,2,0,0.500
bm25_topk,30,19,63.3,45.5-78.1,27.1,216,2170,5718,9,0,0.004
truncate,30,7,23.3,11.8-40.9,25.3,194,1925,6057,21,0,0.000
random,30,11,36.7,21.9-54.5,27.0,219,2225,5963,18,1,0.000
stopwords,30,23,76.7,59.1-88.2,64.9,415,4453,8033,5,0,0.062
