cell,token reduction %,quality retained %,on frontier
baseline,+0.0,100.0,yes
M5,+14.3,89.8,
M3,+12.5,93.4,yes
M3+M5,+25.4,90.8,yes
M2,+2.0,99.6,yes
M2+M5,+16.1,89.4,
M2+M3,+14.6,93.0,yes
M2+M3+M5,+27.2,90.5,yes
M1,+0.2,98.0,
M1+M5,+14.5,88.3,
M1+M3,+12.8,91.4,
M1+M3+M5,+25.6,89.3,
M1+M2,+2.3,97.8,yes
M1+M2+M5,+16.3,88.1,
M1+M2+M3,+14.8,91.2,yes
M1+M2+M3+M5,+27.4,89.1,yes
M1+M2+M3+M5+M4+M6,+33.9,73.7,yes
