cell,token reduction %,quality retained %,on frontier
baseline,+0.0,100.0,yes
M5,+13.4,86.9,
M3,+12.3,91.0,yes
M3+M5,+23.6,86.3,yes
M2,+2.3,99.4,yes
M2+M5,+15.4,86.4,
M2+M3,+14.6,90.4,yes
M2+M3+M5,+25.6,85.8,yes
M1,+18.6,90.2,yes
M1+M5,+27.1,84.9,yes
M1+M3,+20.9,87.2,yes
M1+M3+M5,+29.7,84.4,yes
M1+M2,+20.9,90.0,yes
M1+M2+M5,+29.2,84.7,yes
M1+M2+M3,+23.2,87.0,yes
M1+M2+M3+M5,+31.8,84.2,yes
M1+M2+M3+M5+M4+M6,+39.0,66.5,yes
